IBAT,MULT
1464.7,4.206
1464.9,4.196
1465.0,4.188
1465.4,4.167
1466.3,4.157
1467.3,4.147
1468.3,4.137
1470.6,4.127
1471.5,4.097
1472.0,4.077
1472.8,4.067
1473.2,4.057
1473.4,4.047
1473.6,4.04
1474.1,4.021
1474.4,4.01
1475.4,3.995
1475.5,3.97
1475.7,3.96
1476.2,3.95
1476.4,3.93
1477.5,3.915
1477.7,3.89
1479.2,3.88
1479.4,3.859
1481.6,3.829
1483.5,3.84
1484.1,3.809
1484.9,3.789
1485.6,3.779
1486.0,3.7640000000000002
1486.7,3.734
1487.2,3.729
1487.5,3.699
1488.8,3.668
1489.2,3.678
1489.9,3.659
1490.0,3.628
1490.5,3.619
1490.6,3.609
1491.1,3.598
1491.7,3.578
1492.8,3.569
1493.5,3.559
1494.5,3.548
1495.8,3.529
1496.8,3.519
1497.2,3.509
1497.8,3.498
1498.3,3.488
1498.6,3.479
1499.4,3.459
1499.6,3.4585
1499.7,3.439
1499.9,3.428
1501.0,3.419
1501.3,3.408
1501.5,3.399
1501.6,3.388
1502.4,3.3680000000000003
1502.7,3.348
1503.4,3.338
1504.0,3.328
1504.2,3.309
1505.6,3.298
1505.9,3.288
1506.4,3.277
1507.8,3.258
1509.7,3.238
1509.8,3.227
1511.0,3.208
1511.2,3.197
1511.9,3.187
1512.1,3.177
1512.8,3.168
1513.4,3.1525
1513.9,3.1325000000000003
1514.2,3.118
1514.7,3.097
1515.6,3.078
1516.1,3.058
1516.4,3.047
1516.5,3.038
1517.7,3.018
1518.4,3.007
1519.2,2.988
1521.9,2.969
1522.3,2.958
1523.5,2.949
1523.7,2.938
1524.1,2.918
1524.4,2.908
1525.7,2.888
1526.3,2.878
1526.6,2.868
1526.8,2.859
1527.0,2.848
1527.4,2.837
1527.5,2.827
1527.7,2.818
1527.8,2.808
1527.9,2.787
1528.8,2.787
1529.0,2.768
1529.9,2.758
1530.1,2.747
1530.8,2.7325
1531.2,2.718
1532.5,2.708
1534.2,2.697
1534.9,2.677
1535.4,2.667
1535.6,2.657
1536.0,2.647
1537.1,2.617
1537.9,2.607
1538.5,2.596
1539.2,2.577
1539.3,2.567
1540.2,2.547
1540.6,2.537
1540.9,2.517
1541.6,2.497
1542.3,2.487
1542.5,2.477
1542.8,2.467
1543.0,2.457
1543.4,2.427
1544.0,2.417
1544.1,2.397
1547.0,2.387
1547.9,2.377
1548.5,2.357
1549.2,2.347
1550.4,2.337
1550.7,2.317
1551.5,2.307
1551.8,2.296
1551.9,2.286
1552.6,2.266
1553.5,2.246
1553.9,2.237
1554.3,2.216
1555.3,2.1915
1556.1,2.187
1556.9,2.156
1557.8,2.147
1558.9,2.136
1559.3,2.126
1559.8,2.106
1561.8,2.096
1562.3,2.086
1562.4,2.076
1562.8,2.065
1563.0,2.057
1563.8,2.046
1564.0,2.036
1564.3,2.015
1564.7,2.007
1565.2,1.991
1566.3,1.976
1566.4,1.946
1568.1,1.9300000000000002
1568.2,1.911
1568.8,1.877
1570.1,1.867
1570.4,1.857
1571.5,1.847
1572.7,1.836
1573.4,1.827
1574.0,1.8119999999999998
1575.4,1.787
1575.8,1.776
1576.6,1.766
1576.9,1.751
1577.2,1.726
1577.7,1.726
1577.8,1.706
1578.3,1.696
1578.6,1.686
1579.1,1.676
1579.7,1.666
1579.9,1.657
1580.3,1.646
1580.7,1.6309999999999998
1580.9,1.615
1581.0,1.607
1581.5,1.596
1582.1,1.586
1582.9,1.575
1584.2,1.566
1584.5,1.546
1587.6,1.535
1588.1,1.525
1588.2,1.506
1588.6,1.485
1589.0,1.471
1589.8,1.456
1590.3,1.435
1590.6,1.426
1590.7,1.416
1591.8,1.3920000000000001
1592.2,1.376
1592.9,1.365
1593.1,1.346
1593.3,1.336
1594.2,1.316
1594.5,1.306
1594.6,1.296
1595.6,1.286
1595.7,1.276
1595.9,1.265
1598.1,1.256
1598.6,1.246
1600.1,1.225
1601.0,1.206
1602.0,1.196
1602.2,1.185
1602.5,1.156
1603.7,1.125
1604.2,1.135
1604.9,1.116
1605.1,1.106
1605.3,1.095
1606.0,1.0705
1606.5,1.045
1606.7,1.034
1607.4,1.025
1608.6,1.015
1609.1,1.005
1609.7,0.995
1610.0,0.986
1610.6,0.976
1613.0,0.9604999999999999
1613.4,0.945
1614.3,0.9255
1614.8,0.905
1614.9,0.896
1615.5,0.886
1616.0,0.855
1616.3,0.865
1617.0,0.836
1617.1,0.835
1618.2,0.8115
1618.5,0.796
1618.6,0.786
1619.4,0.775
1619.7,0.757
1620.2,0.736
1621.0,0.725
1621.3,0.716
1622.2,0.695
1624.1,0.675
1625.3,0.666
1626.5,0.656
1626.8,0.645
1627.1,0.635
1627.8,0.606
1628.2,0.615
1628.6,0.595
1629.0,0.585
1629.7,0.57
1629.9,0.555
1630.7,0.545
1631.3,0.535
1631.4,0.525
1631.5,0.51
1631.9,0.485
1632.6,0.475
1633.1,0.446
1633.7,0.455
1634.1,0.435
1634.6,0.425
1635.2,0.415
1636.1,0.406
1638.9,0.396
1639.1,0.385
1639.4,0.375
1640.0,0.356
1640.3,0.335
1641.4,0.325
1641.8,0.316
1642.1,0.306
1642.3,0.29
1642.7,0.275
1642.8,0.266
1643.5,0.256
1643.6,0.246
1644.0,0.235
1644.6,0.226
1645.0,0.216
1645.5,0.186
1645.7,0.176
1646.3,0.146
1647.4,0.126
1647.6,0.11966666666666666
1648.9,0.086
1649.6,0.076
1652.2,0.066
1653.9,0.036
1656.2,0.016
1657.0,0.007
1665.4,-0.007
1674.3,-0.208
1682.1,-0.409
1692.3,-0.608
1703.8,-0.81
1709.2,-1.008
1719.5,-1.209
1729.3,-1.409
1738.4,-1.61
1746.1,-1.81
1755.8,-2.01
1765.0,-2.21
1772.8,-2.411
1782.5,-2.61
1793.4,-2.811
1800.5,-3.011
1809.7,-3.211
1818.6,-3.412
1826.0,-3.612
