MULT,CH1,CH2
0,0.02368421052631579,0.0348421052631579
9.43069000E-03,0.04,0.05981578947368421
1.71262000E-02,0.052789473684210525,0.06
3.02716000E-02,0.06,0.07968421052631579
3.92569000E-02,0.08,0.08
5.00555000E-02,0.08,0.1
5.86322000E-02,0.09994736842105263,0.1
6.62983000E-02,0.1,0.10921052631578948
8.05622000E-02,0.12,0.12
8.90947000E-02,0.12,0.13997368421052633
9.99090000E-02,0.14,0.14
1.08837000E-01,0.14,0.15997368421052632
1.21982000E-01,0.16,0.16
1.29726000E-01,0.16,0.18
1.38804000E-01,0.18,0.18
1.49600000E-01,0.18,0.2
1.58148000E-01,0.19947368421052633,0.2
1.71702000E-01,0.2,0.22
1.79438000E-01,0.22,0.22
1.91072000E-01,0.22,0.24
1.98773000E-01,0.23997368421052634,0.24
2.08280000E-01,0.24,0.2597631578947368
2.21408000E-01,0.26,0.26
2.29123000E-01,0.26,0.27994736842105267
2.41164000E-01,0.28,0.28
2.48865000E-01,0.28,0.2997894736842105
2.57397000E-01,0.28507894736842104,0.3
2.71135000E-01,0.3,0.32
2.78843000E-01,0.3197105263157895,0.32
2.90462000E-01,0.32,0.34
2.98233000E-01,0.34,0.34
3.11820000E-01,0.34,0.36
3.20373000E-01,0.36,0.36
3.28095000E-01,0.36,0.37794736842105264
3.39678000E-01,0.3798421052631579,0.38
3.39705000E-01,0.37992105263157894,0.38
3.60526000E-01,0.4,0.4
3.69470000E-01,0.4,0.42
3.80286000E-01,0.42,0.42
3.88836000E-01,0.42,0.4392105263157895
3.96538000E-01,0.4352368421052632,0.44
3.96511000E-01,0.4341842105263158,0.44
4.18743000E-01,0.46,0.46
4.29551000E-01,0.46,0.47992105263157897
4.38523000E-01,0.48,0.48
4.46273000E-01,0.48,0.48605263157894735
4.59422000E-01,0.5,0.5
4.59402000E-01,0.5,0.5
4.79754000E-01,0.52,0.52
4.88310000E-01,0.52,0.5393684210526316
5.01847000E-01,0.54,0.54
5.09593000E-01,0.54,0.56
5.18139000E-01,0.5599736842105264,0.56
5.28956000E-01,0.56,0.58
5.38060000E-01,0.58,0.58
5.51198000E-01,0.58,0.6
5.58913000E-01,0.6,0.6
5.58923000E-01,0.6,0.6
5.78683000E-01,0.6195,0.62
5.87256000E-01,0.62,0.6317894736842106
5.99524000E-01,0.64,0.64
6.07224000E-01,0.64,0.659157894736842
6.18810000E-01,0.66,0.66
6.26513000E-01,0.66,0.6728421052631579
6.35465000E-01,0.6739736842105264,0.68
6.48592000E-01,0.68,0.6999473684210527
6.56308000E-01,0.6865,0.7
6.68515000E-01,0.7,0.72
6.76208000E-01,0.7136842105263158,0.72
6.76204000E-01,0.7131315789473684,0.72
6.76204000E-01,0.7154736842105264,0.72
7.05986000E-01,0.74,0.7542105263157894
7.17659000E-01,0.76,0.76
7.25372000E-01,0.76,0.7609736842105264
7.39426000E-01,0.78,0.78
7.47988000E-01,0.78,0.7998157894736841
7.58821000E-01,0.8,0.8
7.67738000E-01,0.8,0.8199473684210526
7.75420000E-01,0.8197631578947369,0.82
7.88561000E-01,0.82,0.8399473684210526
7.97671000E-01,0.84,0.84
8.08485000E-01,0.84,0.8596578947368421
8.08482000E-01,0.84,0.8598684210526316
8.08513000E-01,0.84,0.8598947368421053
8.38299000E-01,0.88,0.88
8.46848000E-01,0.88,0.8991842105263158
8.57691000E-01,0.9,0.9
8.66182000E-01,0.9,0.9140263157894737
8.79331000E-01,0.92,0.92
8.87025000E-01,0.92,0.9369473684210526
8.95975000E-01,0.9305789473684211,0.94
9.06796000E-01,0.94,0.9591842105263159
9.15336000E-01,0.9526052631578947,0.96
9.29041000E-01,0.96,0.98
9.29037000E-01,0.96,0.98
9.29030000E-01,0.96,0.98
9.56061000E-01,0.9997894736842106,1.0
9.65009000E-01,1.0,1.0063947368421053
9.78166000E-01,1.02,1.02
9.85906000E-01,1.02,1.0385
9.98515000E-01,1.04,1.04
1.00618900E+00,1.04,1.0590526315789472
1.01936900E+00,1.06,1.06
1.02832700E+00,1.06,1.08
1.03599800E+00,1.0797894736842106,1.08
1.04765400E+00,1.08,1.0999473684210528
1.05533900E+00,1.0994736842105262,1.1
1.06905000E+00,1.1,1.12
1.07760400E+00,1.12,1.12
1.08531800E+00,1.12,1.1376315789473683
1.09737500E+00,1.14,1.14
1.10508900E+00,1.14,1.1578157894736842
1.11828900E+00,1.16,1.16
1.11827400E+00,1.16,1.16
1.11826700E+00,1.16,1.16
1.11827300E+00,1.16,1.16
1.15513400E+00,1.1998684210526316,1.2
1.16864500E+00,1.2,1.22
1.17717000E+00,1.22,1.22
1.18801200E+00,1.22,1.24
1.19705900E+00,1.24,1.24
1.21022800E+00,1.24,1.26
1.21790900E+00,1.26,1.26
1.22690000E+00,1.26,1.28
1.23769300E+00,1.28,1.28
1.24619400E+00,1.28,1.3
1.26032300E+00,1.3,1.3
1.26800300E+00,1.3,1.32
1.27657200E+00,1.32,1.32
1.28738500E+00,1.32,1.34
1.29631600E+00,1.34,1.34
1.30948000E+00,1.34,1.36
1.31720100E+00,1.36,1.36
1.32941800E+00,1.3600263157894739,1.38
1.33710700E+00,1.38,1.38
1.34567000E+00,1.38,1.4
1.35922600E+00,1.4,1.4
1.36692900E+00,1.4,1.42
1.36692300E+00,1.4,1.42
1.36692500E+00,1.4,1.42
1.36692300E+00,1.4,1.4199736842105262
1.40802600E+00,1.44,1.46
1.41573300E+00,1.46,1.46
1.42779900E+00,1.46,1.48
1.43549800E+00,1.48,1.48
1.44868500E+00,1.4801842105263159,1.5
1.45778600E+00,1.5,1.5
1.46857800E+00,1.5008684210526317,1.52
1.47708800E+00,1.52,1.52
1.48482600E+00,1.52,1.54
1.49836200E+00,1.54,1.54
1.50696700E+00,1.54,1.56
1.51777800E+00,1.56,1.56
1.52732800E+00,1.56,1.58
1.53499600E+00,1.58,1.58
1.54814800E+00,1.58,1.6
1.55713200E+00,1.6,1.6
1.56795100E+00,1.602236842105263,1.62
1.57647500E+00,1.62,1.62
1.59022100E+00,1.6343947368421052,1.64
1.59786600E+00,1.64,1.64
1.60648500E+00,1.64,1.66
1.61726800E+00,1.66,1.66
1.61726100E+00,1.66,1.66
1.61722300E+00,1.66,1.66
1.61724800E+00,1.66,1.66
1.61724800E+00,1.66,1.66
1.66827400E+00,1.7000526315789473,1.72
1.67685000E+00,1.72,1.72
1.69035200E+00,1.733578947368421,1.74
1.69804800E+00,1.74,1.74
1.70971000E+00,1.754921052631579,1.76
1.71743600E+00,1.76,1.76
1.72647900E+00,1.76,1.78
1.73965100E+00,1.78,1.7806052631578948
1.74734900E+00,1.780421052631579,1.8
1.75934900E+00,1.8,1.8000526315789473
1.76709000E+00,1.800236842105263,1.82
1.78023200E+00,1.82,1.822763157894737
1.78974800E+00,1.838578947368421,1.84
1.79743300E+00,1.84,1.84
1.80905700E+00,1.855921052631579,1.86
1.81675200E+00,1.86,1.86
1.83031400E+00,1.8776842105263158,1.88
1.83884800E+00,1.88,1.8800263157894737
1.84966000E+00,1.8832894736842107,1.9
1.85876300E+00,1.9,1.9000263157894737
1.86648300E+00,1.9,1.92
1.86651100E+00,1.9,1.92
1.86646500E+00,1.9000263157894737,1.92
1.86646600E+00,1.9000263157894737,1.92
1.86647700E+00,1.9001052631578947,1.92
1.91563200E+00,1.96,1.96
1.92873500E+00,1.98,1.98
1.93726500E+00,1.98,1.9999736842105262
1.94808200E+00,2.0,2.0
1.95701700E+00,2.0000263157894738,2.02
1.97014000E+00,2.02,2.02
1.97788400E+00,2.020026315789474,2.04
1.98696300E+00,2.04,2.04
1.99776200E+00,2.04,2.06
1.99776600E+00,2.04,2.06
2.01984300E+00,2.067815789473684,2.08
2.01983500E+00,2.0724473684210527,2.08
2.03919500E+00,2.084736842105263,2.1
2.04688300E+00,2.1,2.1
2.05642900E+00,2.1,2.12
2.06954400E+00,2.12,2.12
2.07729900E+00,2.12,2.14
2.08933700E+00,2.14,2.14
2.09705400E+00,2.140026315789474,2.16
2.10561600E+00,2.16,2.16
2.11929000E+00,2.1652105263157897,2.18
2.12698700E+00,2.18,2.18
2.13867100E+00,2.180815789473684,2.2
2.14632800E+00,2.2,2.2
2.15986800E+00,2.200026315789474,2.22
2.16845100E+00,2.22,2.22
2.17613900E+00,2.22,2.24
2.18900300E+00,2.24,2.24
2.19672300E+00,2.24,2.26
2.20986100E+00,2.26,2.2600263157894735
2.21882900E+00,2.2627105263157894,2.28
2.22962300E+00,2.28,2.28
2.23815500E+00,2.28,2.3
2.24583600E+00,2.3,2.3
2.24585900E+00,2.3,2.3
2.26810100E+00,2.32,2.32
2.26811200E+00,2.32,2.32
2.28784700E+00,2.34,2.34
2.28783100E+00,2.34,2.34
2.30873100E+00,2.36,2.36
2.31823800E+00,2.3615,2.38
2.32903700E+00,2.38,2.38
2.33753800E+00,2.3817105263157896,2.4
2.35107700E+00,2.4,2.4078684210526315
2.35876400E+00,2.4152894736842105,2.42
2.36729400E+00,2.42,2.42
2.37812800E+00,2.427842105263158,2.44
2.38720000E+00,2.44,2.44
2.40038400E+00,2.4597894736842103,2.46
2.40808900E+00,2.46,2.46
2.42014400E+00,2.4798947368421054,2.48
2.42784000E+00,2.48,2.48
2.43644100E+00,2.4808684210526315,2.5
2.44963300E+00,2.5,2.5
2.45733700E+00,2.5,2.5
2.46896600E+00,2.5,2.5
2.47664700E+00,2.5,2.52
2.49020900E+00,2.52,2.5225263157894737
2.49872500E+00,2.521657894736842,2.54
2.49869600E+00,2.521342105263158,2.54
2.51862700E+00,2.5555,2.56
2.51865200E+00,2.5567894736842103,2.56
2.53953800E+00,2.5771052631578946,2.58
2.53953300E+00,2.579236842105263,2.58
2.55616500E+00,2.58,2.6
2.56784400E+00,2.6,2.600026315789474
2.57554300E+00,2.6,2.62
2.58969000E+00,2.62,2.6257105263157894
2.59820100E+00,2.638315789473684,2.64
2.60904500E+00,2.64,2.640578947368421
2.61793600E+00,2.6499473684210524,2.66
2.62563900E+00,2.66,2.66
2.63882300E+00,2.6785,2.68
2.64791300E+00,2.68,2.680026315789474
2.65872000E+00,2.699131578947368,2.7
2.66727900E+00,2.7,2.7
2.68085000E+00,2.72,2.72
2.68858700E+00,2.72,2.7218684210526316
2.69713900E+00,2.7283684210526316,2.74
2.70795400E+00,2.74,2.740131578947368
2.71589900E+00,2.7437368421052635,2.76
2.72902200E+00,2.76,2.7627105263157894
2.73675400E+00,2.7708684210526315,2.78
2.74565500E+00,2.78,2.78
2.74566300E+00,2.78,2.78
2.76503600E+00,2.8,2.8
2.76504300E+00,2.8,2.8
2.78642400E+00,2.82,2.82
2.78636600E+00,2.82,2.82
2.80570100E+00,2.84,2.84
2.81469000E+00,2.84,2.86
2.82784700E+00,2.86,2.8607368421052635
2.83558200E+00,2.8659736842105263,2.88
2.84816100E+00,2.88,2.8815263157894737
2.85585400E+00,2.8838947368421053,2.9
2.86902200E+00,2.9,2.9008947368421056
2.87797400E+00,2.9065263157894736,2.92
2.88566800E+00,2.92,2.92
2.89731700E+00,2.9276842105263157,2.94
2.90502000E+00,2.94,2.94
2.91872100E+00,2.96,2.96
2.92728400E+00,2.96,2.9603157894736842
2.93808600E+00,2.9796052631578944,2.98
2.94701700E+00,2.98,2.9801315789473684
2.95475600E+00,2.9804736842105264,3.0
2.96792100E+00,3.0,3.009526315789474
2.97641900E+00,3.0157368421052633,3.02
2.98722600E+00,3.02,3.04
2.99578500E+00,3.0358684210526317,3.04
2.99573700E+00,3.036,3.04
3.01698300E+00,3.059026315789474,3.06
3.01702500E+00,3.0590789473684215,3.06
3.03639100E+00,3.0778684210526315,3.08
3.03638800E+00,3.079315789473684,3.08
3.05855700E+00,3.1,3.1
3.05856600E+00,3.1,3.1
3.07528100E+00,3.1123157894736844,3.12
3.08605300E+00,3.12,3.14
3.09463300E+00,3.1247105263157895,3.14
3.10877700E+00,3.14,3.16
3.11645200E+00,3.1427894736842106,3.16
3.12807700E+00,3.16,3.18
3.13582200E+00,3.1643421052631577,3.18
3.14473400E+00,3.18,3.1999473684210527
3.15792500E+00,3.2,3.2
3.16562400E+00,3.2,3.22
3.17784500E+00,3.22,3.22
3.18555300E+00,3.22,3.2399473684210527
3.19408800E+00,3.2381315789473684,3.24
3.20767400E+00,3.240131578947368,3.26
3.21539900E+00,3.26,3.26
3.22704600E+00,3.266184210526316,3.28
3.23473900E+00,3.28,3.28
3.24923700E+00,3.29721052631579,3.3
3.24919300E+00,3.298,3.3
3.26537900E+00,3.3,3.32
3.26534300E+00,3.3,3.32
3.28507400E+00,3.3200526315789474,3.339973684210526
3.28502800E+00,3.3200526315789474,3.34
3.30727800E+00,3.3502105263157897,3.36
3.30726800E+00,3.352,3.36
3.32664800E+00,3.3642105263157895,3.38
3.33435100E+00,3.38,3.38
3.34789600E+00,3.3984473684210523,3.4
3.35646400E+00,3.4,3.4
3.36729800E+00,3.409157894736842,3.42
3.37677500E+00,3.42,3.42
3.38448500E+00,3.42,3.44
3.39763500E+00,3.44,3.44
3.40654800E+00,3.443842105263158,3.46
3.41730500E+00,3.46,3.46
3.42579600E+00,3.46,3.48
3.43951600E+00,3.48,3.48
3.44718600E+00,3.480526315789474,3.5
3.45571700E+00,3.5,3.5
3.46652900E+00,3.5069473684210526,3.52
3.47540200E+00,3.52,3.52
3.48853000E+00,3.538657894736842,3.54
3.49625300E+00,3.54,3.54
3.49620400E+00,3.54,3.54
3.51564800E+00,3.56,3.56
3.51559300E+00,3.56,3.56
3.53770100E+00,3.58,3.58
3.53770600E+00,3.58,3.58
3.55700300E+00,3.6,3.6
3.55705700E+00,3.6,3.6
3.57845100E+00,3.62,3.62
3.58695100E+00,3.6355526315789475,3.64
3.59466400E+00,3.64,3.64
3.60669000E+00,3.65621052631579,3.66
3.61440700E+00,3.66,3.66
3.62754500E+00,3.68,3.68
3.63713600E+00,3.68,3.68
3.64484800E+00,3.6834210526315787,3.7
3.65651600E+00,3.7,3.7
3.66419600E+00,3.701631578947368,3.72
3.67776200E+00,3.72,3.72
3.68635800E+00,3.7357368421052635,3.74
3.69719600E+00,3.74,3.74
3.70630200E+00,3.7592631578947366,3.76
3.71402900E+00,3.76,3.76
3.72723000E+00,3.7778684210526317,3.78
3.73617200E+00,3.78,3.78
3.74699200E+00,3.7823157894736843,3.8
3.74698800E+00,3.782184210526316,3.8
3.77526300E+00,3.82,3.82
3.77525300E+00,3.82,3.82
3.78607800E+00,3.837921052631579,3.84
3.78608200E+00,3.839,3.84
3.80813300E+00,3.86,3.86
3.80815400E+00,3.86,3.86
3.82744800E+00,3.879368421052632,3.88
3.83516200E+00,3.88,3.88
3.84885200E+00,3.9,3.9
3.85736800E+00,3.9,3.9000526315789474
3.86818200E+00,3.92,3.92
3.87710500E+00,3.92,3.92
3.89024700E+00,3.94,3.94
3.89794700E+00,3.94,3.94
3.90745100E+00,3.959973684210526,3.96
3.91825800E+00,3.96,3.9601315789473683
3.92681100E+00,3.9799210526315787,3.98
3.94035300E+00,3.98,3.9981842105263157
3.94805500E+00,4.0,4.0
3.95967800E+00,4.0,4.008578947368421
3.96738500E+00,4.02,4.02
3.97645300E+00,4.02,4.02
3.98961800E+00,4.04,4.04
3.99736800E+00,4.04,4.040052631578948
4.00942700E+00,4.06,4.06
4.00939000E+00,4.06,4.06
4.02562000E+00,4.07978947368421,4.08
4.03878500E+00,4.08,4.08571052631579
4.04649900E+00,4.099921052631579,4.1
4.04647800E+00,4.099921052631579,4.1
4.06584000E+00,4.103921052631579,4.12
4.07936900E+00,4.12,4.127815789473684
4.08788600E+00,4.1395,4.14
4.09560600E+00,4.14,4.14
4.10780900E+00,4.16,4.16
4.11549500E+00,4.16,4.16
4.12863000E+00,4.18,4.18
4.13757700E+00,4.18,4.1800263157894735
4.14841300E+00,4.199921052631579,4.2
4.15697200E+00,4.2,4.200026315789473
4.16470200E+00,4.202315789473684,4.22
4.17882900E+00,4.22,4.227052631578948
4.18738000E+00,4.24,4.24
4.19819200E+00,4.24,4.243184210526316
4.20709900E+00,4.259921052631579,4.26
4.21483300E+00,4.26,4.26
4.22799100E+00,4.28,4.28
4.23707700E+00,4.28,4.280026315789473
4.24790200E+00,4.3,4.3
4.25641100E+00,4.3,4.3
4.25642600E+00,4.3,4.3
4.27767000E+00,4.32,4.320078947368421
4.28623000E+00,4.338710526315789,4.34
4.29701700E+00,4.34,4.34
4.29704300E+00,4.34,4.34
4.31995800E+00,4.36,4.374526315789473
4.32765900E+00,4.38,4.38
4.33971900E+00,4.38,4.398605263157895
4.33973100E+00,4.38,4.399447368421052
4.35596800E+00,4.4,4.400026315789473
4.36969800E+00,4.42,4.42
4.37740900E+00,4.42,4.420105263157895
4.38899600E+00,4.44,4.44
4.39672800E+00,4.44,4.440052631578948
4.41024800E+00,4.46,4.46
4.41880400E+00,4.46,4.474105263157895
4.42652200E+00,4.48,4.48
4.43912700E+00,4.48,4.488
4.44683800E+00,4.5,4.5
4.46004100E+00,4.5,4.515210526315789
4.46897800E+00,4.52,4.52
4.47667900E+00,4.52,4.520052631578947
4.48829300E+00,4.54,4.54
4.49598100E+00,4.54,4.54
4.50966800E+00,4.56,4.56
4.50966800E+00,4.56,4.56
4.52901900E+00,4.58,4.58
4.53798000E+00,4.58,4.580105263157895
4.54569100E+00,4.599973684210527,4.6
4.54574200E+00,4.599815789473684,4.6
4.56747600E+00,4.62,4.62
4.57827300E+00,4.62,4.624447368421053
4.58678800E+00,4.64,4.64
4.58680900E+00,4.64,4.64
4.60806600E+00,4.66,4.66
4.61663900E+00,4.66,4.66
4.62744700E+00,4.68,4.68
4.63655200E+00,4.68,4.680236842105264
4.64966500E+00,4.7,4.7
4.65741300E+00,4.7,4.706868421052632
4.66632800E+00,4.72,4.72
4.67715000E+00,4.72,4.721105263157895
4.68572300E+00,4.74,4.74
4.69984400E+00,4.74,4.753921052631579
4.70762300E+00,4.76,4.76
4.71919100E+00,4.76,4.771842105263158
4.72688500E+00,4.78,4.78
4.73585700E+00,4.78,4.78
4.74903200E+00,4.8,4.8
4.75674800E+00,4.8,4.800078947368421
4.75671700E+00,4.8,4.800473684210527
4.77662700E+00,4.82,4.82
4.78981400E+00,4.84,4.84
4.79876500E+00,4.84,4.850631578947368
4.79878200E+00,4.84,4.852157894736843
4.81746000E+00,4.86,4.870631578947369
4.82520700E+00,4.88,4.88
4.83768400E+00,4.88,4.893052631578947
4.83770800E+00,4.88,4.891552631578947
4.85392700E+00,4.9,4.9
4.86591400E+00,4.919894736842105,4.92
4.87368400E+00,4.92,4.92
4.88674400E+00,4.94,4.94
4.89589700E+00,4.94,4.94
4.90671700E+00,4.96,4.96
4.91523700E+00,4.96,4.96
4.92292500E+00,4.978868421052631,4.98
4.93648400E+00,4.98,4.98
4.94500500E+00,5.0,5.0
4.95578000E+00,5.0,5.0
4.96527700E+00,5.02,5.02
4.97845700E+00,5.02,5.02
4.98619100E+00,5.02,5.02
